X,Y,OBJECTID,SENSOR_UNIQUE_ID,GPSX,GPSY,MTYPE,SENSOR_STATUS,PMZ,PMZ2,ADDRESS_SPACE,TOOLTIP,NLA_URL
-118.264888166221,34.033924653599,7917,CB4101B,-118.264876,34.03392,IPS,3,CB,CB4,101 W 17TH ST,Address Space: 101 W 17TH ST\nType: IPS’\nAs of: 06/17/2015\nID: CB4101B\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7917
-118.264835934191,34.0338948572306,7918,CB4101A,-118.264824,34.03389,IPS,3,CB,CB4,101 W 17TH ST,Address Space: 101 W 17TH ST\nType: IPS’\nAs of: 06/17/2015\nID: CB4101A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7918
-118.264331125987,34.035141748534,7919,CB246,-118.264319,34.035137,IPS,3,CB,CB2,1501 S HILL ST,Address Space: 1501 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB246\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7919
-118.264291090315,34.0351885570511,7920,CB245,-118.264279,34.035184,IPS,3,CB,CB2,1501 S HILL ST,Address Space: 1501 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB245\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7920
-118.264241577426,34.0352512045365,7921,CB244,-118.264229,34.035246,IPS,3,CB,CB2,1501 S HILL ST,Address Space: 1501 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB244\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7921
-118.264202588916,34.0352990790452,7922,CB243,-118.26419,34.035294,IPS,3,CB,CB2,1501 S HILL ST,Address Space: 1501 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB243\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7922
-118.264157062843,34.0350631969521,7923,CB1953,-118.264145,34.035058,IPS,3,CB,CB1,1500 S HILL ST,Address Space: 1500 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB1953\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7923
-118.264105309364,34.0351278759219,7924,CB1953A,-118.264093,34.035123,IPS,3,CB,CB1,1500 S HILL ST,Address Space: 1500 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB1953A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7924
-118.264066569317,34.0351748807682,7925,CB1953B,-118.264054,34.03517,IPS,3,CB,CB1,1500 S HILL ST,Address Space: 1500 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB1953B\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7925
-118.26366469482,34.0359638952217,7926,CB239,-118.263653,34.035959,IPS,3,CB,CB2,1401 S HILL ST,Address Space: 1401 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB239\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7926
-118.263925996664,34.0356433290587,7927,CB241,-118.263914,34.035638,IPS,3,CB,CB2,1401 S HILL ST,Address Space: 1401 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB241\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7927
-118.263702562527,34.0359182266728,7928,CB240,-118.26369,34.035913,IPS,3,CB,CB2,1401 S HILL ST,Address Space: 1401 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB240\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7928
-118.263562395637,34.0357941657998,7929,CB252A,-118.26355,34.035789,IPS,3,CB,CB2,1400 S HILL ST,Address Space: 1400 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB252A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7929
-118.263609483463,34.0357372909731,7930,CB252,-118.263597,34.035732,IPS,3,CB,CB2,1400 S HILL ST,Address Space: 1400 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB252\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7930
-118.263699109039,34.0356260745839,7931,CB251A,-118.263687,34.035621,IPS,3,CB,CB2,1400 S HILL ST,Address Space: 1400 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB251A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7931
-118.263738353489,34.0355805860278,7932,CB251,-118.263726,34.035576,IPS,3,CB,CB2,1400 S HILL ST,Address Space: 1400 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB251\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7932
-118.263121646417,34.0363411863499,7933,CB255,-118.26311,34.036336,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB255\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7933
-118.263157748771,34.0362963277867,7934,CB254A,-118.263146,34.036291,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB254A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7934
-118.263205268168,34.0362387715218,7935,CB254,-118.263193,34.036234,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB254\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7935
-118.262972074599,34.0365261842604,7936,CB255A,-118.26296,34.036521,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB255A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7936
-118.262933856859,34.0365747427452,7937,CB256,-118.262922,34.03657,IPS,3,CB,CB2,1300 S HILL ST,Address Space: 1300 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB256\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7937
-118.263066457029,34.0367043823771,7938,CB235,-118.263054,34.036699,IPS,3,CB,CB2,1301 S HILL ST,Address Space: 1301 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB235\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7938
-118.26315132674,34.0365968117223,7939,CB235B,-118.263139,34.036592,IPS,3,CB,CB2,1301 S HILL ST,Address Space: 1301 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB235B\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7939
-118.263103736152,34.0366579778468,7940,CB235A,-118.263092,34.036653,IPS,3,CB,CB2,1301 S HILL ST,Address Space: 1301 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB235A\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7940
-118.262924632019,34.0368791986042,7941,CB234,-118.262912,34.036874,IPS,3,CB,CB2,1301 S HILL ST,Address Space: 1301 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB234\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7941
-118.262851420215,34.036968824015,7942,CB233,-118.262839,34.036964,IPS,3,CB,CB2,1301 S HILL ST,Address Space: 1301 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB233\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7942
-118.262744438694,34.0371007874878,7943,CB232,-118.262732,34.037096,IPS,3,CB,CB2,1301 S HILL ST,Address Space: 1301 S HILL ST\nType: IPS’\nAs of: 06/17/2015\nID: CB232\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=7943
